5,Beast. Nothing more. Nothing less.,P U.,"It is a beast. And I got this at 27k + added benefits and bonuses in the Great Indian Sale. Thankn you, Amazon, for that and for impeccable delivery of the product.",8
5,Android pie is now available!😍,Harman Randhawa,Awesome picture quality as now we are getting time to time updates!,9
5,worth every penny.......BEAST.......,apurva dasgupta,i was bit confused before buying this one plus 6 but during sale i got 1 for my self at a very reasonable cost,7
5,The Ultimate Flagship you can buy,Amazon Customer,"Processor speed, RAM management, Camera, Display, Battery; The OnePlus will not disappoint us in any of these aspects.",8
5,The king now.,Ishu Srivastava,"What can we expect in a RS. 35,000  device..??",8
5,Awesome!,Akash mandaL,"First of all my grievance is that i had ordered it on 10th of August and after 3days seller has shipped this order, may be it is because of sale. But the delivery boy is awesome and nice to talk with he suggested me to open the box in front of him and took video of that also. I have to say that the phone is very premium and nice to hold. Screen quality is just awesome but the battery life is not that great it is not bad but not as expected when you have AMOLED display but the charger that comes in a box is fabulous. Everything is great in this phone considering price. You can purchase this phone blindly.",8
5,Amazing phone,Abhijeet Panse,It's an amazing phone ..,6
5,A steal at 27k,KAUSHIK,All criterions are top notch on the device..the only thing to address is the camera.. although it is simply the best in it's range..I advice everyone to install the Gcam mod from XDA...the camera hardware is extremely capable and with the pixel camera..well it becomes a pixel 2xl with a snapdragon 845..also camera 2api is natively supported so download n u are ready to go.,4
5,One of the best decisions I made off late :),Saurabh,"Well, you know that feeling of awesomeness, when you get more than what you expect, this is what it is for me with this fantastic device.",3
5,Flagships can be cheap too.,Prashanth reddy,Been using this for almkst 5months now. Excellent phone with great screen and great camera. And talking about speed. Ahhh it is certainly got all the speed and agility you needed. Dash charge is so helpful. Mirror black version has a flaw that its black glass is finger print magnet. Protect your phone with a case all the time.,4
5,Oneplus = flagship killer,Dhiraj pidurkar,Their is no doubt why oneplus is now indias no 1 premium smartphone brand . I am in love with picture quality of this phone. shot taken in low light  is far better than any other flagship phone specially iphones expensive shit. Battery back up is good it gives me 5 to 6 hours of battery usage time altough if you play pubg the battery usage time limited to 3 to 4 hours but not a problem for me beacuse of dash charger,4
5,The beast yeh!,Jayaraj Vijayan,"Every aspect of this phone is great. There is no negative at least from my perspective. Camera is good, speed is the absolute best, screen is sharp and bright, reception is great and there is zero bloat, it just never slows down! I would highly recommend.",3
5,ONE PLUS 6 - THE BEST OF THE BEAST,Suriyah,"I BOUGHT THIS MASTER PIECE ON THE VERY FIRST DAY OF ITS LAUNCH (21ST MAY 2018). LET ME THANK AMAZON FOR THEIR EXPRESS DELIVERY WITHIN A DAY'S TIME. I JUST GOTTU EXPRESS THAT I HAD NOTHING BUT AN AWESOME SATISFACTION WITH THIS SMART PHONE ON REAL TIME USAGE. CALL QUALITY, CAMERA, SELFIES, SCREEN DISPLAY, TOUCH SENSITIVITY, FINGER SENSOR, FACE DETECTION ETC.,...... THE BEST OF THE BEAST !",4
5,Move to One plus 6 from MI note 4,Rk singh,Picture quality: superb,3
